technique,k,model,cv_f1_mean,cv_f1_std
PCA (95% var),33,XGBoost,0.7540652143083754,0.059553770791535
SelectKBest,3,RandomForest,0.7527809909388856,0.07595513384952317
SelectKBest,20,KNN,0.7523753742598728,0.06059901723913081
SelectKBest,5,DecisionTree,0.7521072796934866,0.017277527028175456
RFE,2,LogisticRegression,0.7508285147895942,0.04786230871068544
RFE,3,RandomForest,0.7496271314892005,0.06591952449701285
SelectKBest,15,KNN,0.7482920098030661,0.06833446054027842
RFE,2,NaiveBayes,0.7463459364937196,0.0828137066001415
PCA (99% var),37,RandomForest,0.7448093457069824,0.04253665745484012
RFE,5,DecisionTree,0.7442251529704983,0.08694995816577512
PCA (90% var),29,NaiveBayes,0.7440565699964197,0.04234678798458025
PCA (95% var),33,NaiveBayes,0.7405676753460004,0.05314342771627398
PCA (95% var),33,RandomForest,0.7404324336938891,0.05452345670866963
SelectKBest,2,RandomForest,0.7402409311479861,0.04477717685781959
SelectKBest,2,KNN,0.7398051726802612,0.053860813456900344
SelectKBest,20,DecisionTree,0.7380024212100353,0.08091681291020753
PCA (99% var),37,NaiveBayes,0.7372518159806296,0.059233326855791614
RFE,2,KNN,0.7325214833379596,0.08705097253723908
SelectKBest,2,XGBoost,0.731726876666646,0.04567575115805823
SelectKBest,3,XGBoost,0.7306657495482645,0.0369837932728637
SelectKBest,40,DecisionTree,0.728874384438128,0.07392150467143258
SelectKBest,40,NaiveBayes,0.7230366821525358,0.08233067162332666
RFE,15,DecisionTree,0.7211236911236911,0.06177345789074776
RFE,40,NaiveBayes,0.7177956989247313,0.08503133072848665
Full features (baseline),41,NaiveBayes,0.7176063542836834,0.07914580550168207
RFE,40,DecisionTree,0.7141266478342749,0.07061059984322178
SelectKBest,15,DecisionTree,0.7086854051364101,0.06118096117450324
RFE,20,DecisionTree,0.7062255205112348,0.06729960609413141
SelectKBest,2,DecisionTree,0.7060488174056673,0.05490187087182543
PCA (99% var),37,DecisionTree,0.7051621084353973,0.06232681576894214
Full features (baseline),41,DecisionTree,0.7043262884686688,0.034809987255582216
SelectKBest,3,DecisionTree,0.7010641916118591,0.034687325239717466
RFE,3,XGBoost,0.7003093595699453,0.04468557194185021
RFE,20,NaiveBayes,0.6986663491307453,0.029184928457890023
PCA (95% var),33,DecisionTree,0.6979463274702095,0.030356209406022003
RFE,2,RandomForest,0.6908760388913479,0.0655987857636175
RFE,2,XGBoost,0.6785284312446551,0.04740137374693143
PCA (90% var),29,DecisionTree,0.6638944707769616,0.03274055049622917
RFE,3,DecisionTree,0.6511605684403146,0.05268573949295095
RFE,2,DecisionTree,0.6430443862132666,0.025106901132983826
